Date,Time.point,Dawn..Dusk,Treatment,plant.mass..g,Tank,Temp,DO.percent,DO.mg.l,SPC,C,pH,DOC,TN,FI,BIX,HIX,raw_SUVA,Sr,SUVA_254
11/15/21,T1,dawn,unburned,400,1,12.9,5,0.53,1066,820,8.42,52.22,0.9146,1.923849,1.363067,0.736968,1.090675,0.815053,2.088615473
11/15/21,T1,dawn,burned,0,2,13.1,107.9,11.23,976,7.54,8.51,3.455,0.8329,0,0,0.885138,0.000045,0.683605,0.00130246
11/15/21,T1,dawn,unburned,300,3,13.3,2.5,27,1031,794,7.97,40.96,0.656,2.036075,1.363339,0.803051,0.998724,0.960439,2.438291016
11/15/21,T1,dawn,burned,5,4,13,95.8,10.07,988,767,8.28,3.507,1.051,1.872486,0.692535,2.657998,0.045324,1.969234,1.292386655
11/15/21,T1,dawn,unburned,250,5,13.2,8.4,0.88,1023,791,8.3,30.75,0.642,1.035097,1.090874,1.304958,0.902658,1.145664,2.935473171
11/15/21,T1,dawn,burned,10,6,13.5,104.8,10.94,986,769,8.32,3.83,0.7122,1.955071,0.711274,2.677129,0.064568,2.010851,1.685848564
11/15/21,T1,dawn,unburned,225,7,13.6,14.3,1.49,1042,814,8.01,18.03,0.5853,2.109565,0.599938,1.443366,0.512329,1.093743,2.841536328
11/15/21,T1,dawn,burned,25,8,14.1,128.5,13.24,983,778,8.59,5.004,0.3547,1.652074,0.73105,2.84595,0.086855,1.505969,1.735711431
11/15/21,T1,dawn,unburned,200,9,13.9,8.5,0.88,1039,819,8.29,26.1,0.6244,1.158093,1.393967,3.438773,0.762368,0.929408,2.920950192
11/15/21,T1,dawn,burned,50,10,13.9,67.5,6.97,1015,800,8.17,5.907,1.229,1.741084,0.785116,1.611018,0.136577,1.517386,2.312121212
11/15/21,T1,dawn,unburned,175,11,13.9,26,2.88,1029,811,8.1,20.96,0.4659,1.812978,1.069199,1.221087,0.644601,1.199632,3.07538645
11/15/21,T1,dawn,burned,75,12,14,68.3,7.07,1022,806,8.05,6.115,0.9694,1.798193,0.773286,1.699512,0.161079,1.510647,2.634161897
11/15/21,T1,dawn,unburned,150,13,13,31.2,3.29,1025,789,8,15.7,0.5185,2.433875,0.666996,2.39245,0.447984,1.063131,2.853401274
11/15/21,T1,dawn,burned,100,14,13.2,56.4,5.92,1009,782,7.98,7.475,0.4557,1.829608,0.748428,1.658133,0.223203,1.340963,2.985993311
11/15/21,T1,dawn,unburned,125,15,13.2,38.9,4.09,1017,787,7.95,10.77,0.4531,1.864886,0.656975,1.510755,0.288653,1.234898,2.680157846
11/15/21,T1,dawn,burned,125,16,13.3,45.2,4.75,1012,787,7.9,9.172,0.6772,1.801144,0.761706,1.396407,0.243879,1.330043,2.658951156
11/15/21,T1,dawn,unburned,100,17,13.4,45.2,4.72,1007,783,7.87,9.761,0.451,2.002893,0.639685,1.489286,0.277697,1.219545,2.844964655
11/15/21,T1,dawn,burned,150,18,13.4,39.5,4.13,1029,801,7.84,11.22,0.4934,2.058131,0.768866,1.509424,0.345263,1.32337,3.077210339
11/15/21,T1,dawn,unburned,75,19,13.8,68.6,7.08,1023,803,7.89,5.305,0.8143,1.688883,0.667152,1.743033,0.132547,1.401723,2.498529689
11/15/21,T1,dawn,burned,175,20,14,39.9,4.12,1031,814,7.89,10.35,0.6048,2.125487,0.726653,1.40747,0.307656,1.241833,2.972521739
11/15/21,T1,dawn,unburned,50,21,13.9,72.9,7.53,1018,802,7.92,4.845,0.8209,1.744249,0.660933,1.639814,0.101148,1.604406,2.087678019
11/15/21,T1,dawn,burned,200,22,14,30.1,3.11,1044,825,7.83,15.05,0.5376,2.086012,0.714297,1.802252,0.435938,1.2065,2.896598007
11/15/21,T1,dawn,unburned,25,23,14.2,86.6,8.87,1015,806,7.97,3.984,0.9668,1.556071,0.623757,2.033474,0.07982,1.595698,2.003514056
11/15/21,T1,dawn,burned,225,24,13.9,16.6,1.67,1062,837,7.92,20.21,0.6044,2.086319,0.700705,1.370745,0.555689,1.051796,2.749574468
11/15/21,T1,dawn,unburned,10,25,13.4,101.6,10.54,1013,788,8.23,3.472,0.8702,2.11144,0.682023,1.888145,0.048882,1.977792,1.407891705
11/15/21,T1,dawn,burned,250,26,13.7,8.2,0.87,1052,823,8.06,19.98,0.6394,2.043958,0.705018,1.435006,0.508732,0.975868,2.546206206
11/15/21,T1,dawn,unburned,5,27,13.8,97,10.17,1008,792,8.34,3.596,0.9543,1.620586,0.725859,3.0993,0.056517,2.217522,1.571662959
11/15/21,T1,dawn,burned,300,28,13.6,7,0.73,1067,835,8.09,33.18,0.7905,1.731444,0.72979,0.802601,0.80732,0.950257,2.433152502
11/15/21,T1,dawn,unburned,0,29,13.8,102.6,10.64,1008,793,8.45,3.599,1.199,1.932558,0.739463,3.31362,0.052549,2.117894,1.460100028
11/15/21,T1,dawn,burned,400,30,13.7,3.5,0.36,10.88,854,8.03,56.38,0.8601,1.071281,0.597293,0.81404,1.278017,0.878265,2.266791415
1/3/22,T3,dawn,unburned,400,1,6.9,62.6,7.61,991,648,8.05,9.909,0.9712,1.635311,0.743381,2.906765,0.544809,1.044639,5.498122919
1/3/22,T3,dawn,burned,0,2,7.2,89.6,10.8,833,550,8.21,5.516,0.2945,1.814837,0.840844,1.755819,0.060791,2.055802,1.102084844
1/3/22,T3,dawn,unburned,300,3,7.1,66.1,9.01,952,625,7.84,8.544,0.5001,1.619499,0.69517,2.376027,0.496284,1.015494,5.808567416
1/3/22,T3,dawn,burned,5,4,7.4,89,10.63,842,559,8.27,3.852,0.2666,1.571039,0.954435,1.858278,0.059617,1.56436,1.547689512
1/3/22,T3,dawn,unburned,250,5,7.2,64.8,7.83,949,627,8.02,9.516,0.7557,1.670622,0.713853,2.943092,0.517712,1.079933,5.440437158
1/3/22,T3,dawn,burned,10,6,7.6,93.6,11.12,843,562,8.35,4.41,0.2356,1.565895,0.831813,1.743498,0.066824,2.648662,1.515283447
1/3/22,T3,dawn,unburned,225,7,7.5,76.7,9.18,979,651,8.12,7.992,0.3508,1.516612,0.719328,3.347423,0.324867,1.029838,4.064902402
1/3/22,T3,dawn,burned,25,8,8,73.9,8.76,888,600,8.2,5.683,0.2925,1.630734,0.850176,2.314246,0.090515,1.559358,1.592732712
1/3/22,T3,dawn,unburned,200,9,8,72.7,859,972,656,8.07,8.109,0.5319,1.559671,0.712904,4.092446,0.364456,0.988206,4.494462942
1/3/22,T3,dawn,burned,50,10,7.9,95.5,11.34,896,603,8.46,5.642,0.4242,1.431652,0.793948,2.41174,0.121153,1.341785,2.147341368
1/3/22,T3,dawn,unburned,175,11,8,80.1,9.4,956,646,8.24,7.805,0.3257,1.514767,0.687349,3.547469,0.329238,0.972333,4.218295964
1/3/22,T3,dawn,burned,75,12,7.8,88.2,10.52,890,597,8.08,6.527,0.5607,1.838158,0.82025,1.962306,0.147327,1.363298,2.257193197
